,endTime,artistName,trackName,msPlayed
145,2020-12-25 14:52,Mohit Chauhan,Matargashti,26499
146,2020-12-25 15:11,Vijay Prakash,Taanu Nenu,205065
147,2020-12-25 17:03,Mohit Chauhan,Matargashti,328052
148,2020-12-25 17:03,Mika Singh,Heer Toh Badi Sad Hai,7583
149,2020-12-25 17:14,Alka Yagnik,Agar Tum Saath Ho,78691
150,2020-12-26 01:35,A.R. Rahman,Chanchan,316400
151,2020-12-26 01:35,Mychael Danna,Kaalu,21455
152,2020-12-26 01:40,A.R. Rahman,Shyam Rang Bhar Do,310933
153,2020-12-26 01:41,Mychael Danna,Turn The Boat Around,12602
154,2020-12-26 01:47,A.R. Rahman,Khwaja Mere Khwaja,416573
155,2020-12-26 01:54,A.R. Rahman,Inn Lamhon Ke Daaman Mein,397826
156,2020-12-26 01:55,A.R. Rahman,Mann Mohanaa,36430
157,2020-12-26 02:00,A.R. Rahman,Jashn-E-Bahaaraa,315173
158,2020-12-26 02:07,A.R. Rahman,Khwaja Mere Khwaja,416573
159,2020-12-26 02:13,A.R. Rahman,Inn Lamhon Ke Daaman Mein,313878
160,2020-12-26 02:19,A.R. Rahman,Chanchan,316400
161,2020-12-26 02:29,Mychael Danna,Kaalu,148493
162,2020-12-26 02:30,Mychael Danna,Can't Go Home,71706
163,2020-12-26 02:36,A.R. Rahman,Piya Ho,362400
164,2020-12-26 02:37,Mychael Danna,Ladoo Dreams,71626
165,2020-12-26 02:54,Mychael Danna,Funeral,24899
166,2020-12-26 03:01,A.R. Rahman,Khwaja Mere Khwaja,416573
167,2020-12-26 03:07,A.R. Rahman,Inn Lamhon Ke Daaman Mein,397826
168,2020-12-26 03:12,A.R. Rahman,Mann Mohanaa,292122
169,2020-12-26 08:36,A.R. Rahman,Shyam Rang Bhar Do,264426
170,2020-12-26 09:07,Vivek Sagar,Doragari,314036
171,2020-12-26 09:24,Vivek Sagar,Talapu Talupu,285745
172,2020-12-26 11:15,Nikhil mathew,Cherupunjiri,257509
173,2020-12-27 03:24,Nikhil mathew,Cherupunjiri,261955
174,2020-12-27 03:43,Bijibal,Idukki,203250
175,2020-12-27 04:13,S. P. Balasubrahmanyam,Jaruguthunnaadi,561473
176,2020-12-27 10:13,Vivek Sagar,Vaale Chinukule,310511
177,2020-12-27 10:15,Vivek Sagar,Putukku Zara Zara,117699
178,2020-12-27 10:30,Vivek Sagar,Doragari,253553
179,2020-12-27 13:10,Avicii,Waiting For Love,171890
180,2020-12-27 13:15,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,293904
181,2020-12-27 13:16,Mike Posner,Cooler Than Me - Single Mix,19267
182,2020-12-27 14:20,Mike Posner,Weaponry,0
183,2020-12-27 14:20,Mike Posner,Please Don't Go,0
184,2020-12-27 14:20,Mike Posner,Cooler Than Me (feat. Big Sean),957
185,2020-12-27 14:24,Mike Posner,Sage Wisdom From Diddy,687
186,2020-12-27 14:24,Mike Posner,Nothing Is Wrong,0
187,2020-12-27 14:24,Mike Posner,Legacy (with Talib Kweli),0
188,2020-12-27 14:24,Mike Posner,Introduction,1382
189,2020-12-27 14:24,Mike Posner,Sage Wisdom From Steven Tyler,274
190,2020-12-27 14:24,Mike Posner,Come Home,3964
191,2020-12-27 14:24,Mike Posner,Fun Up Here (feat. Logic),15166
192,2020-12-27 14:24,Mike Posner,God's Lottery (feat. Elohim),0
193,2020-12-27 14:24,Mike Posner,Look What I've Become,2520
194,2020-12-27 14:24,Naughty Boy,Live Before I Die - Naughty Boy x Mike Posner,199050
195,2020-12-27 14:24,Mike Posner,Noah's Ark,563
196,2020-12-27 14:24,Mike Posner,Prince Akeem (feat. Wiz Khalifa),855
197,2020-12-27 14:40,The Weeknd,Starboy,179935
198,2020-12-27 15:38,Ed Sheeran,Afterglow,2167
199,2020-12-27 15:41,Taylor Swift,willow,214706
200,2020-12-27 15:44,Ariana Grande,positions,172324
201,2020-12-27 15:45,Billie Eilish,Therefore I Am,34885
202,2020-12-27 15:46,Pop Smoke,What You Know Bout Love,45739
203,2020-12-27 15:58,Marshmello,Be Kind (with Halsey),93431
204,2020-12-27 17:45,Kala Bhairava,Tharagathi Gadhi - Telugu,213437
205,2020-12-27 17:45,Kala Bhairava,Tharagathi Gadhi - Telugu,4981
206,2020-12-27 17:49,Anurag Kulkarni,Arere Aakasham - Telugu,202963
207,2020-12-27 17:52,Anurag Kulkarni,Arere Aakasham - Telugu,206250
208,2020-12-27 18:06,Anurag Kulkarni,Arere Aakasham - Telugu,146758
209,2020-12-28 02:25,Anurag Kulkarni,Arere Aakasham - Telugu,2020
210,2020-12-28 02:25,Anurag Kulkarni,Arere Aakasham - Telugu,206250
211,2020-12-28 02:38,Post Malone,Circles,128790
212,2020-12-28 02:51,Post Malone,Circles,86948
213,2020-12-28 02:52,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,74245
214,2020-12-28 02:52,Post Malone,rockstar (feat. 21 Savage),5595
215,2020-12-28 02:55,Post Malone,Wow.,149546
216,2020-12-28 03:22,Post Malone,Better Now,19901
217,2020-12-28 03:56,Post Malone,Goodbyes (feat. Young Thug),174853
218,2020-12-28 03:59,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560
219,2020-12-28 04:01,Post Malone,Internet,123386
220,2020-12-28 04:05,Post Malone,Blame It On Me,261800
221,2020-12-28 04:07,Post Malone,Big Lie,98960
222,2020-12-28 04:10,Maroon 5,Memories,189486
223,2020-12-28 04:15,Maroon 5,Payphone,231173
224,2020-12-28 04:20,Maroon 5,Sugar,235493
225,2020-12-28 04:29,Maroon 5,This Love,40182
226,2020-12-28 04:29,Maroon 5,She Will Be Loved - Radio Mix,259453
